Index Name,S&P/BMV Total Mexico Index (MXN) TR
3-May-18,135.0835876
2-May-18,137.2127465
30-Apr-18,138.4381622
27-Apr-18,138.0948499
26-Apr-18,138.0696823
25-Apr-18,137.5903342
24-Apr-18,137.6025837
23-Apr-18,138.5441218
20-Apr-18,138.5392377
19-Apr-18,139.2265101
18-Apr-18,140.2357752
17-Apr-18,140.0145123
16-Apr-18,138.5891903
13-Apr-18,139.288179
12-Apr-18,139.3004479
11-Apr-18,138.5897582
10-Apr-18,138.1089635
9-Apr-18,137.4051879
6-Apr-18,137.1087166
5-Apr-18,137.1592677
4-Apr-18,135.7253986
3-Apr-18,133.4311532
2-Apr-18,130.9873722
28-Mar-18,131.9017405
27-Mar-18,133.6351875
26-Mar-18,133.7945261
23-Mar-18,132.9355083
22-Mar-18,135.1862045
21-Mar-18,135.5341403
20-Mar-18,134.1872759
16-Mar-18,135.145367
15-Mar-18,136.1684943
14-Mar-18,137.0638363
13-Mar-18,138.1500602
12-Mar-18,138.5193888
9-Mar-18,138.1309091
8-Mar-18,137.0508925
7-Mar-18,135.4916224
6-Mar-18,135.9546551
5-Mar-18,135.5832742
2-Mar-18,135.2716965
1-Mar-18,135.4209882
28-Feb-18,134.9920179
27-Feb-18,136.4240805
26-Feb-18,137.7194839
23-Feb-18,137.8622205
22-Feb-18,138.6317605
21-Feb-18,137.555392
20-Feb-18,137.9982891
19-Feb-18,138.6885515
16-Feb-18,138.4989884
15-Feb-18,138.3225408
14-Feb-18,137.2185098
13-Feb-18,136.0212792
12-Feb-18,135.5500285
9-Feb-18,135.3757464
8-Feb-18,135.5497355
7-Feb-18,138.5629735
6-Feb-18,139.5481955
2-Feb-18,142.4673043
1-Feb-18,143.028397
31-Jan-18,142.7152448
30-Jan-18,142.3946654
29-Jan-18,143.1915803
26-Jan-18,144.3523203
25-Jan-18,143.626942
24-Jan-18,143.4133956
23-Jan-18,142.0309706
22-Jan-18,141.3210541
19-Jan-18,140.5360909
18-Jan-18,141.128397
17-Jan-18,140.7162942
16-Jan-18,140.0557433
15-Jan-18,139.740055
12-Jan-18,139.0900204
11-Jan-18,138.1834141
10-Jan-18,138.1804449
9-Jan-18,140.59874
8-Jan-18,141.4126536
5-Jan-18,141.1816953
4-Jan-18,140.732413
3-Jan-18,140.7829225
2-Jan-18,141.4809382
29-Dec-17,139.6744578
28-Dec-17,138.2925277
27-Dec-17,137.7336265
26-Dec-17,137.1054518
22-Dec-17,136.96218
21-Dec-17,137.2521423
20-Dec-17,137.0552006
19-Dec-17,137.1554049
18-Dec-17,137.8751536
15-Dec-17,136.4018002
14-Dec-17,136.6779103
13-Dec-17,136.8074678
11-Dec-17,135.2548603
8-Dec-17,135.0286682
7-Dec-17,133.4517714
6-Dec-17,133.4262734
5-Dec-17,134.752409
4-Dec-17,133.9861078
1-Dec-17,134.3973097
30-Nov-17,133.9463328
29-Nov-17,135.2787447
28-Nov-17,134.2520443
27-Nov-17,134.3946773
24-Nov-17,136.113641
23-Nov-17,136.5923054
22-Nov-17,136.7919668
21-Nov-17,136.8369704
17-Nov-17,135.7524934
16-Nov-17,135.2684511
15-Nov-17,135.012131
14-Nov-17,135.4849703
13-Nov-17,135.9946561
10-Nov-17,136.0447115
9-Nov-17,137.9780861
8-Nov-17,138.1097451
7-Nov-17,138.5806351
6-Nov-17,138.5064198
3-Nov-17,137.3329232
1-Nov-17,136.7856215
31-Oct-17,137.6113627
30-Oct-17,137.9156733
27-Oct-17,138.7812146
